Row,Error,Row Data
2,Invalid date format for CREATE DATE at row 2: 22-07-2025 23:47:46,"{'Unnamed: 0': nan, 'No': 1, 'CREATE DATE': '22-07-2025 23:47:46', 'USERNAME': 'pemainlawas', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 23:48:54', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '268.00'}"
3,Invalid date format for CREATE DATE at row 3: 22-07-2025 23:29:07,"{'Unnamed: 0': nan, 'No': 2, 'CREATE DATE': '22-07-2025 23:29:07', 'USERNAME': 'zorojuro', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 23:30:57', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '300.00'}"
4,Invalid date format for CREATE DATE at row 4: 22-07-2025 23:24:30,"{'Unnamed: 0': nan, 'No': 3, 'CREATE DATE': '22-07-2025 23:24:30', 'USERNAME': 'nadira13', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 23:26:20', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '140.00'}"
5,Invalid date format for CREATE DATE at row 5: 22-07-2025 22:41:06,"{'Unnamed: 0': nan, 'No': 4, 'CREATE DATE': '22-07-2025 22:41:06', 'USERNAME': 'bulux1990', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 22:41:41', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '150.00'}"
6,Invalid date format for CREATE DATE at row 6: 22-07-2025 22:34:59,"{'Unnamed: 0': nan, 'No': 5, 'CREATE DATE': '22-07-2025 22:34:59', 'USERNAME': 'antem9999', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 22:36:04', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '151.00'}"
7,Invalid date format for CREATE DATE at row 7: 22-07-2025 21:45:52,"{'Unnamed: 0': nan, 'No': 6, 'CREATE DATE': '22-07-2025 21:45:52', 'USERNAME': 'turinah', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 21:48:21', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '50.00'}"
8,Invalid date format for CREATE DATE at row 8: 22-07-2025 21:44:17,"{'Unnamed: 0': nan, 'No': 7, 'CREATE DATE': '22-07-2025 21:44:17', 'USERNAME': 'buluduz', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 21:47:54', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '52.00'}"
9,Invalid date format for CREATE DATE at row 9: 22-07-2025 21:02:10,"{'Unnamed: 0': nan, 'No': 8, 'CREATE DATE': '22-07-2025 21:02:10', 'USERNAME': 'baimkoteh', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 21:03:26', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '120.00'}"
10,Invalid date format for CREATE DATE at row 10: 22-07-2025 20:45:11,"{'Unnamed: 0': nan, 'No': 9, 'CREATE DATE': '22-07-2025 20:45:11', 'USERNAME': 'kiki67', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 20:46:57', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '101.00'}"
11,Invalid date format for CREATE DATE at row 11: 22-07-2025 20:42:51,"{'Unnamed: 0': nan, 'No': 10, 'CREATE DATE': '22-07-2025 20:42:51', 'USERNAME': 'bandit07', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 20:44:29', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '1,500.00'}"
12,Invalid date format for CREATE DATE at row 12: 22-07-2025 19:35:37,"{'Unnamed: 0': nan, 'No': 11, 'CREATE DATE': '22-07-2025 19:35:37', 'USERNAME': 'm47fxjifuf69', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 19:36:21', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '71.00'}"
13,Invalid date format for CREATE DATE at row 13: 22-07-2025 19:35:28,"{'Unnamed: 0': nan, 'No': 12, 'CREATE DATE': '22-07-2025 19:35:28', 'USERNAME': 'william44', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 19:36:02', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '495.00'}"
14,Invalid date format for CREATE DATE at row 14: 22-07-2025 19:18:48,"{'Unnamed: 0': nan, 'No': 13, 'CREATE DATE': '22-07-2025 19:18:48', 'USERNAME': 'birutua99', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 19:19:22', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '101.00'}"
15,Invalid date format for CREATE DATE at row 15: 22-07-2025 19:01:23,"{'Unnamed: 0': nan, 'No': 14, 'CREATE DATE': '22-07-2025 19:01:23', 'USERNAME': 'rafisqi', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 19:02:21', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '100.00'}"
16,Invalid date format for CREATE DATE at row 16: 22-07-2025 18:42:59,"{'Unnamed: 0': nan, 'No': 15, 'CREATE DATE': '22-07-2025 18:42:59', 'USERNAME': 'aryati', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 18:43:45', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '51.00'}"
17,Invalid date format for CREATE DATE at row 17: 22-07-2025 18:41:12,"{'Unnamed: 0': nan, 'No': 16, 'CREATE DATE': '22-07-2025 18:41:12', 'USERNAME': 'padel20', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 18:42:17', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '100.00'}"
18,Invalid date format for CREATE DATE at row 18: 22-07-2025 18:24:31,"{'Unnamed: 0': nan, 'No': 17, 'CREATE DATE': '22-07-2025 18:24:31', 'USERNAME': 'padel20', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 18:27:16', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '51.00'}"
19,Invalid date format for CREATE DATE at row 19: 22-07-2025 17:22:42,"{'Unnamed: 0': nan, 'No': 18, 'CREATE DATE': '22-07-2025 17:22:42', 'USERNAME': 'padel20', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 17:23:08', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '201.00'}"
20,Invalid date format for CREATE DATE at row 20: 22-07-2025 17:20:53,"{'Unnamed: 0': nan, 'No': 19, 'CREATE DATE': '22-07-2025 17:20:53', 'USERNAME': 'mafia12', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 17:21:41', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '449.00'}"
21,Invalid date format for CREATE DATE at row 21: 22-07-2025 16:27:30,"{'Unnamed: 0': nan, 'No': 20, 'CREATE DATE': '22-07-2025 16:27:30', 'USERNAME': 'kutuair', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 16:28:20', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '75.00'}"
22,Invalid date format for CREATE DATE at row 22: 22-07-2025 15:25:15,"{'Unnamed: 0': nan, 'No': 21, 'CREATE DATE': '22-07-2025 15:25:15', 'USERNAME': 'padel20', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 15:27:39', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '201.00'}"
23,Invalid date format for CREATE DATE at row 23: 22-07-2025 15:16:41,"{'Unnamed: 0': nan, 'No': 22, 'CREATE DATE': '22-07-2025 15:16:41', 'USERNAME': 'zebra188', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 15:17:59', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '5,000.00'}"
24,Invalid date format for CREATE DATE at row 24: 22-07-2025 14:36:20,"{'Unnamed: 0': nan, 'No': 23, 'CREATE DATE': '22-07-2025 14:36:20', 'USERNAME': 'bandit07', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 14:36:58', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '400.00'}"
25,Invalid date format for CREATE DATE at row 25: 22-07-2025 13:58:00,"{'Unnamed: 0': nan, 'No': 24, 'CREATE DATE': '22-07-2025 13:58:00', 'USERNAME': 'rival786', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 13:58:27', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '2,000.00'}"
26,Invalid date format for CREATE DATE at row 26: 22-07-2025 13:07:21,"{'Unnamed: 0': nan, 'No': 25, 'CREATE DATE': '22-07-2025 13:07:21', 'USERNAME': 'zebra188', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 13:19:23', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '5,000.00'}"
27,Invalid date format for CREATE DATE at row 27: 22-07-2025 12:52:49,"{'Unnamed: 0': nan, 'No': 26, 'CREATE DATE': '22-07-2025 12:52:49', 'USERNAME': 'paku99', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 12:53:46', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '250.00'}"
28,Invalid date format for CREATE DATE at row 28: 22-07-2025 11:03:11,"{'Unnamed: 0': nan, 'No': 27, 'CREATE DATE': '22-07-2025 11:03:11', 'USERNAME': 'zebra188', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 11:04:06', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '3,000.00'}"
29,Invalid date format for CREATE DATE at row 29: 22-07-2025 10:57:40,"{'Unnamed: 0': nan, 'No': 28, 'CREATE DATE': '22-07-2025 10:57:40', 'USERNAME': 'r9bold', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 10:58:14', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '215.00'}"
30,Invalid date format for CREATE DATE at row 30: 22-07-2025 10:28:08,"{'Unnamed: 0': nan, 'No': 29, 'CREATE DATE': '22-07-2025 10:28:08', 'USERNAME': 'satpam168', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 10:28:23', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '50.00'}"
31,Invalid date format for CREATE DATE at row 31: 22-07-2025 10:27:12,"{'Unnamed: 0': nan, 'No': 30, 'CREATE DATE': '22-07-2025 10:27:12', 'USERNAME': 'kinglemon09', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 10:27:43', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '800.00'}"
32,Invalid date format for CREATE DATE at row 32: 22-07-2025 10:16:34,"{'Unnamed: 0': nan, 'No': 31, 'CREATE DATE': '22-07-2025 10:16:34', 'USERNAME': 'baesinja2219', 'EVENT': 'Withdraw', 'PROCESS DATE': '22-07-2025 10:17:09', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '197.00'}"
